last_window_sale_amount,shop_code,class_code,date,time,total_sale_amount,last_hour_sale_amount,total_pass_rate,last_hour_pass_rate,rest_inventory,prom,discount,
0,100001001,0401,2018-06-04,22,68,0,0.969817768,0.023917995,2,0,,
0,100001001,0401,2018-06-04,23,68,0,0.989179954,0.019362187,2,1,3.9,
272.68,100001001,0401,2018-06-05,13,49,32,0.625831486,0.171286031,19,0,,
60.26,100001001,0401,2018-06-05,14,56,7,0.703436807,0.077605322,12,0,,
48.02,100001001,0401,2018-06-05,15,62,6,0.746119734,0.042682927,6,0,,
8,100001001,0401,2018-06-05,16,63,1,0.770509978,0.024390244,5,0,,
0,100001001,0401,2018-06-05,17,63,0,0.801552106,0.031042129,5,0,,
8,100001001,0401,2018-06-05,18,64,1,0.838137472,0.036585366,4,0,,
0,100001001,0401,2018-06-05,19,64,0,0.884146341,0.046008869,4,0,,
17.6,100001001,0401,2018-06-05,20,66,2,0.920731707,0.036585366,2,0,,
0,100001001,0401,2018-06-05,21,66,0,0.949002217,0.02827051,2,0,,
0,100001001,0401,2018-06-05,22,66,0,0.971175166,0.022172949,2,0,,
0,100001001,0401,2018-06-05,23,66,0,0.993348115,0.022172949,2,1,3.9,
265.56,100001001,0401,2018-06-06,13,46,31,0.632090762,0.180983252,26,0,,
17.6,100001001,0401,2018-06-06,14,48,2,0.710967045,0.078876283,24,0,,
40.84,100001001,0401,2018-06-06,15,53,5,0.746623447,0.035656402,19,1,8.9,
20.3,100001001,0401,2018-06-06,16,55,2,0.774176121,0.027552674,17,1,8.9,
22.86,100001001,0401,2018-06-06,17,58,3,0.808211777,0.034035656,14,0,,
7.2,100001001,0401,2018-06-06,18,59,1,0.84710967,0.038897893,13,1,8.9,
12.64,100001001,0401,2018-06-06,19,61,2,0.882225824,0.035116153,11,1,7.9,
6.32,100001001,0401,2018-06-06,20,62,1,0.918962723,0.036736899,10,1,7.9,
14.32,100001001,0401,2018-06-06,21,64,2,0.944354403,0.02539168,8,1,6.9,
0,100001001,0401,2018-06-06,22,64,0,0.967585089,0.023230686,8,1,6.9,
4.72,100001001,0401,2018-06-06,23,65,1,0.98919503,0.021609941,7,1,3.9,
184.74,100001001,0401,2018-06-07,13,37,21,0.637203928,0.165222415,32,1,8.9,
85.12,100001001,0401,2018-06-07,14,47,10,0.721548238,0.08434431,22,1,8.9,
23.63,100001001,0401,2018-06-07,15,50,3,0.751588677,0.030040439,19,1,8.9,
0,100001001,0401,2018-06-07,16,50,0,0.774119006,0.022530329,18,1,8.9,
8,100001001,0401,2018-06-07,17,51,1,0.80762565,0.033506644,18,1,7.9,
33.76,100001001,0401,2018-06-07,18,56,5,0.837666089,0.030040439,13,1,7.9,
52.06,100001001,0401,2018-06-07,19,64,8,0.875794339,0.03812825,5,0,,
